title,duration,day_week_n,week,module,is_pro,is_ignored
Break,15,,6,Python Programming,,TRUE
"Lab : Use functions to implement a
Caesar Cipher and Knowledge Check",105,,6,Python Programming,,FALSE
Lunch,45,,6,Python Programming,,TRUE
Mods and Libraries,80,,6,Python Programming,,FALSE
Break,15,,6,Python Programming,,TRUE
"Lab : File handlers and modules for
retrieving information about insulin
and Knowledge Check",55,,6,Python Programming,,FALSE
Exit Ticket,20,,6,Python Programming,,TRUE
Flex Time,15,,6,Python Programming,,TRUE
Recap,20,,6,Python Programming,,TRUE
Python for System Administration,80,,6,Python Programming,,FALSE
Break,15,,6,Python Programming,,TRUE
"Lab : System Administration with
Python and Knowledge Check",65,,6,Python Programming,,FALSE
Lunch,45,,6,Python Programming,,TRUE
Debugging and Testing,70,,6,Python Programming,,FALSE
Lab : Using the Debugger,40,,6,Python Programming,,FALSE
Break,15,,6,Python Programming,,TRUE
"Lab : Debugging Hello World and Caesar
Cipher",80,,6,Python Programming,,FALSE
Exit Ticket,20,,6,Python Programming,,TRUE
Recap,20,,6,Python Programming,,TRUE
Knowledge Check ( Debugging ),15,,6,Python Programming,,FALSE
DevOps and Continuous Integration,40,,6,Python Programming,,FALSE
Break,15,,6,Python Programming,,TRUE
Lab : Evaluate a DevOps tool,45,,6,Python Programming,,FALSE
Lunch,45,,6,Python Programming,,TRUE
Lab : Explore the value of automation,45,,6,Python Programming,,FALSE
Break,15,,6,Python Programming,,TRUE
"Lab : Compare and contrast
automation and orchestration and
Knowledge Check",60,,6,Python Programming,,FALSE
"Configuration Management and
Knowledge Check",60,,6,Python Programming,,FALSE
Fact finding exercise : Python,70,,6,Python Programming,,FALSE
Exit Ticket,20,3,6,Python Programming,,TRUE
Recap,20,4,6,Python Programming,,TRUE
Challenge lab : Python,60,4,6,Python Programming,,FALSE
Break,15,4,6,Python Programming,,TRUE
Review Python,30,4,6,Python Programming,,FALSE
Exploring Cloud Job Postings,90,4,6,Databases,Professional Skills,FALSE
